image,mask
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00048274.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00048274.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00072906.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00072906.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00043853.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00043853.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00057665.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00057665.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00073293.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00073293.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00001078.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00001078.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00047169.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00047169.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00016161.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00016161.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00048578.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00048578.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00073953.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00073953.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00027444.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00027444.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00046373.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00046373.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00011400.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00011400.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00073376.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00073376.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00067172.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00067172.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00051365.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00051365.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00004821.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00004821.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00009303.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00009303.png
data/DUTS-TE/DUTS-TE/DUTS-TE-Image/ILSVRC2012_test_00007113.jpg,data/DUTS-TE/DUTS-TE/DUTS-TE-Mask/ILSVRC2012_test_00007113.png
